평균값 주소,원본 데이터 범위
X1811,$X$930:$X$959
X1812,$X$1050:$X$1079
X1813,$X$1170:$X$1199
X1814,$X$1290:$X$1319
X1815,$X$1410:$X$1439
X1816,$X$1530:$X$1559
X1817,$X$1650:$X$1679
X1818,$X$1770:$X$1799
Y1804,$Y$90:$Y$119
Y1805,$Y$210:$Y$239
Y1806,$Y$330:$Y$359
Y1807,$Y$450:$Y$479
Y1808,$Y$570:$Y$599
Y1809,$Y$690:$Y$719
Y1810,$Y$810:$Y$839
Y1811,$Y$930:$Y$959
Y1812,$Y$1050:$Y$1079
Y1813,$Y$1170:$Y$1199
Y1814,$Y$1290:$Y$1319
Y1815,$Y$1410:$Y$1439
Y1816,$Y$1530:$Y$1559
Y1817,$Y$1650:$Y$1679
Y1818,$Y$1770:$Y$1799
Z1804,$Z$90:$Z$119
Z1805,$Z$210:$Z$239
Z1806,$Z$330:$Z$359
Z1807,$Z$450:$Z$479
Z1808,$Z$570:$Z$599
Z1809,$Z$690:$Z$719
Z1810,$Z$810:$Z$839
Z1811,$Z$930:$Z$959
Z1812,$Z$1050:$Z$1079
Z1813,$Z$1170:$Z$1199
Z1814,$Z$1290:$Z$1319
Z1815,$Z$1410:$Z$1439
Z1816,$Z$1530:$Z$1559
Z1817,$Z$1650:$Z$1679
Z1818,$Z$1770:$Z$1799
AA1804,$AA$90:$AA$119
AA1805,$AA$210:$AA$239
AA1806,$AA$330:$AA$359
AA1807,$AA$450:$AA$479
AA1808,$AA$570:$AA$599
AA1809,$AA$690:$AA$719
AA1810,$AA$810:$AA$839
AA1811,$AA$930:$AA$959
AA1812,$AA$1050:$AA$1079
AA1813,$AA$1170:$AA$1199
AA1814,$AA$1290:$AA$1319
AA1815,$AA$1410:$AA$1439
AA1816,$AA$1530:$AA$1559
AA1817,$AA$1650:$AA$1679
AA1818,$AA$1770:$AA$1799
AB1804,$AB$90:$AB$119
AB1805,$AB$210:$AB$239
AB1806,$AB$330:$AB$359
AB1807,$AB$450:$AB$479
AB1808,$AB$570:$AB$599
AB1809,$AB$690:$AB$719
AB1810,$AB$810:$AB$839
AB1811,$AB$930:$AB$959
AB1812,$AB$1050:$AB$1079
AB1813,$AB$1170:$AB$1199
AB1814,$AB$1290:$AB$1319
AB1815,$AB$1410:$AB$1439
AB1816,$AB$1530:$AB$1559
AB1817,$AB$1650:$AB$1679
AB1818,$AB$1770:$AB$1799
AC1804,$AC$90:$AC$119
AC1805,$AC$210:$AC$239
AC1806,$AC$330:$AC$359
AC1807,$AC$450:$AC$479
AC1808,$AC$570:$AC$599
AC1809,$AC$690:$AC$719
AC1810,$AC$810:$AC$839
AC1811,$AC$930:$AC$959
AC1812,$AC$1050:$AC$1079
AC1813,$AC$1170:$AC$1199
AC1814,$AC$1290:$AC$1319
AC1815,$AC$1410:$AC$1439
AC1816,$AC$1530:$AC$1559
AC1817,$AC$1650:$AC$1679
AC1818,$AC$1770:$AC$1799
AD1804,$AD$90:$AD$119
AD1805,$AD$210:$AD$239
AD1806,$AD$330:$AD$359
AD1807,$AD$450:$AD$479
AD1808,$AD$570:$AD$599
AD1809,$AD$690:$AD$719
AD1810,$AD$810:$AD$839
AD1811,$AD$930:$AD$959
AD1812,$AD$1050:$AD$1079
AD1813,$AD$1170:$AD$1199
AD1814,$AD$1290:$AD$1319
AD1815,$AD$1410:$AD$1439
AD1816,$AD$1530:$AD$1559
AD1817,$AD$1650:$AD$1679
AD1818,$AD$1770:$AD$1799
AE1804,$AE$90:$AE$119
AE1805,$AE$210:$AE$239
AE1806,$AE$330:$AE$359
AE1807,$AE$450:$AE$479
AE1808,$AE$570:$AE$599
AE1809,$AE$690:$AE$719
AE1810,$AE$810:$AE$839
AE1811,$AE$930:$AE$959
AE1812,$AE$1050:$AE$1079
AE1813,$AE$1170:$AE$1199
AE1814,$AE$1290:$AE$1319
AE1815,$AE$1410:$AE$1439
AE1816,$AE$1530:$AE$1559
AE1817,$AE$1650:$AE$1679
AE1818,$AE$1770:$AE$1799
AF1804,$AF$90:$AF$119
AF1805,$AF$210:$AF$239
AF1806,$AF$330:$AF$359
AF1807,$AF$450:$AF$479
AF1808,$AF$570:$AF$599
AF1809,$AF$690:$AF$719
AF1810,$AF$810:$AF$839
AF1811,$AF$930:$AF$959
AF1812,$AF$1050:$AF$1079
AF1813,$AF$1170:$AF$1199
AF1814,$AF$1290:$AF$1319
AF1815,$AF$1410:$AF$1439
AF1816,$AF$1530:$AF$1559
AF1817,$AF$1650:$AF$1679
AF1818,$AF$1770:$AF$1799
AG1804,$AG$90:$AG$119
AG1805,$AG$210:$AG$239
AG1806,$AG$330:$AG$359
AG1807,$AG$450:$AG$479
AG1808,$AG$570:$AG$599
AG1809,$AG$690:$AG$719
AG1810,$AG$810:$AG$839
AG1811,$AG$930:$AG$959
AG1812,$AG$1050:$AG$1079
AG1813,$AG$1170:$AG$1199
AG1814,$AG$1290:$AG$1319
AG1815,$AG$1410:$AG$1439
AG1816,$AG$1530:$AG$1559
AG1817,$AG$1650:$AG$1679
AG1818,$AG$1770:$AG$1799
AH1804,$AH$90:$AH$119
AH1805,$AH$210:$AH$239
AH1806,$AH$330:$AH$359
AH1807,$AH$450:$AH$479
AH1808,$AH$570:$AH$599
AH1809,$AH$690:$AH$719
AH1810,$AH$810:$AH$839
AH1811,$AH$930:$AH$959
AH1812,$AH$1050:$AH$1079
AH1813,$AH$1170:$AH$1199
AH1814,$AH$1290:$AH$1319
AH1815,$AH$1410:$AH$1439
AH1816,$AH$1530:$AH$1559
AH1817,$AH$1650:$AH$1679
AH1818,$AH$1770:$AH$1799
AI1804,$AI$90:$AI$119
AI1805,$AI$210:$AI$239
AI1806,$AI$330:$AI$359
AI1807,$AI$450:$AI$479
AI1808,$AI$570:$AI$599
AI1809,$AI$690:$AI$719
AI1810,$AI$810:$AI$839
AI1811,$AI$930:$AI$959
AI1812,$AI$1050:$AI$1079
AI1813,$AI$1170:$AI$1199
AI1814,$AI$1290:$AI$1319
AI1815,$AI$1410:$AI$1439
AI1816,$AI$1530:$AI$1559
AI1817,$AI$1650:$AI$1679
AI1818,$AI$1770:$AI$1799
AJ1806,$AJ$90:$AJ$119
AJ1807,$AJ$210:$AJ$239
AJ1808,$AJ$330:$AJ$359
AJ1809,$AJ$450:$AJ$479
AJ1810,$AJ$570:$AJ$599
AJ1811,$AJ$690:$AJ$719
AJ1812,$AJ$810:$AJ$839
AJ1813,$AJ$930:$AJ$959
AJ1814,$AJ$1050:$AJ$1079
AJ1815,$AJ$1170:$AJ$1199
AJ1816,$AJ$1290:$AJ$1319
AJ1817,$AJ$1410:$AJ$1439
AJ1818,$AJ$1530:$AJ$1559
AJ1819,$AJ$1650:$AJ$1679
AJ1820,$AJ$1770:$AJ$1799
